bolig_id;addr;vej;zip;pris;energi;type;kvm;ejerudg;grund;vaer;liggetid;alder
4647de07-0c96-46ad-ad1a-1af014a70b9c;/adresse/violvej-33-3650-oelstykke;Violvej 333650 Ølstykke;3650 Ølstykke;4.195.000,00 kr.;Energimærke C;Villa;130 m²;Ejerudg. 3.734 kr./md;Grund 700 m²;4 Vær.;70 dage;Opført 1969
47525dc6-0ad0-48c3-bf15-37c1292d0b4d;/adresse/solvangen-38-9210-aalborg-soe;Solvangen 389210 Aalborg SØ;9210 Aalborg SØ;2.595.000,00 kr.;Energimærke D;Villa;105 m²;Ejerudg. 2.308 kr./md;Grund 922 m²;3 Vær.;70 dage;Opført 1964
d60ad44d-e812-46b7-b647-89655e1ab1d4;/adresse/orebyvej-20-4230-skaelskoer;Orebyvej 20Eggeslevmagle, 4230 Skælskør;Eggeslevmagle, 4230 Skælskør;1.195.000,00 kr.;Energimærke F;Villa;132 m²;Ejerudg. 1.399 kr./md;Grund 1.015 m²;3 Vær.;70 dage;Opført 1976
5e098ef9-8398-4bc7-844a-bfd1f81047f2;/adresse/fredensgade-4-8870-langaa;Fredensgade 48870 Langå;8870 Langå;1.145.000,00 kr.;Energimærke D;Villa;102 m²;Ejerudg. 1.783 kr./md;Grund 709 m²;3 Vær.;70 dage;Opført 1929
5e098ef9-8398-4bc7-844a-bfd1f81047f2;/adresse/fredensgade-4-8870-langaa;Fredensgade 48870 Langå;(-4%);1.145.000,00 kr.;Energimærke D;Villa;102 m²;Ejerudg. 1.783 kr./md;Grund 709 m²;3 Vær.;70 dage;Opført 1929
dfde693b-bbf9-4eec-95fb-85fbc8224e11;/adresse/junovej-2a-8400-ebeltoft;Junovej 2ADråby, 8400 Ebeltoft;Dråby, 8400 Ebeltoft;1.750.000,00 kr.;Energimærke C;Villa/Fritidsbolig;77 m²;Ejerudg. 1.509 kr./md;Grund 900 m²;3 Vær.;70 dage;Opført 2003
8bf8c950-e33c-4491-a82d-4cdef2fb0fbd;/adresse/tjaerbyvej-15-8930-randers-noe;Tjærbyvej 158930 Randers NØ;8930 Randers NØ;1.395.000,00 kr.;Energimærke C;Villa;103 m²;Ejerudg. 1.986 kr./md;Grund 791 m²;4 Vær.;70 dage;Opført 1908
556a12c9-cb86-4d37-8c21-2490cc984240;/adresse/birkevaenget-1-8800-viborg;Birkevænget 1Hald Ege, 8800 Viborg;Hald Ege, 8800 Viborg;3.595.000,00 kr.;Energimærke E;Villa;126 m²;Ejerudg. 2.855 kr./md;Grund 968 m²;4 Vær.;70 dage;Opført 1930
ff1932fa-0280-436b-a1e2-0d3c7a6ee523;/adresse/kattegatsvej-1-9900-frederikshavn;Kattegatsvej 19900 Frederikshavn;9900 Frederikshavn;1.095.000,00 kr.;Energimærke D;Villa;114 m²;Ejerudg. 1.305 kr./md;Grund 394 m²;3 Vær.;70 dage;Opført 1914
a4abf5a7-f340-4d59-ad46-a97fecaca874;/adresse/brosvinget-9-4736-karrebaeksminde;Brosvinget 94736 Karrebæksminde;4736 Karrebæksminde;1.995.000,00 kr.;Energimærke C;Villa;81 m²;Ejerudg. 1.762 kr./md;Grund 538 m²;3 Vær.;70 dage;Opført 1958
a4abf5a7-f340-4d59-ad46-a97fecaca874;/adresse/brosvinget-9-4736-karrebaeksminde;Brosvinget 94736 Karrebæksminde;(-5%);1.995.000,00 kr.;Energimærke C;Villa;81 m²;Ejerudg. 1.762 kr./md;Grund 538 m²;3 Vær.;70 dage;Opført 1958
4562dd7a-a3e5-40bc-acf2-62d19a309a4f;/adresse/syrenvaenget-4-4420-regstrup;Syrenvænget 44420 Regstrup;4420 Regstrup;3.595.000,00 kr.;Energimærke C;Villa;196 m²;Ejerudg. 2.630 kr./md;Grund 1.095 m²;4 Vær.;70 dage;Opført 2007
4562dd7a-a3e5-40bc-acf2-62d19a309a4f;/adresse/syrenvaenget-4-4420-regstrup;Syrenvænget 44420 Regstrup;(-5%);3.595.000,00 kr.;Energimærke C;Villa;196 m²;Ejerudg. 2.630 kr./md;Grund 1.095 m²;4 Vær.;70 dage;Opført 2007
0db5fb51-e273-4164-8259-b3253e4e3874;/adresse/lodsvej-41-5270-odense-n;Lodsvej 41Stige, 5270 Odense N;Stige, 5270 Odense N;2.995.000,00 kr.;Energimærke C;Villa;162 m²;Ejerudg. 2.135 kr./md;Grund 504 m²;4 Vær.;70 dage;Opført 1900
eb563864-66ea-43da-9f26-4b3318e7cecc;/adresse/storegade-46-8550-ryomgaard;Storegade 46Pindstrup, 8550 Ryomgård;Pindstrup, 8550 Ryomgård;495.000,00 kr.;Energimærke D;Villa;108 m²;Ejerudg. 931 kr./md;Grund 134 m²;4 Vær.;70 dage;Opført 1956
0e2b816a-e499-4767-9be0-2edfd8ce0e50;/adresse/fiskernesvej-3-2670-greve;Fiskernesvej 32670 Greve;2670 Greve;5.995.000,00 kr.;Energimærke A2010;Villa;109 m²;Ejerudg. 4.406 kr./md;Grund 384 m²;3 Vær.;70 dage;Opført 1986
0e2b816a-e499-4767-9be0-2edfd8ce0e50;/adresse/fiskernesvej-3-2670-greve;Fiskernesvej 32670 Greve;(-5%);5.995.000,00 kr.;Energimærke A2010;Villa;109 m²;Ejerudg. 4.406 kr./md;Grund 384 m²;3 Vær.;70 dage;Opført 1986
e4d7d08f-3172-46cc-8dfb-82b9bd494c77;/adresse/langerimsvej-61-9560-hadsund;Langerimsvej 61Øster Hurup, 9560 Hadsund;Øster Hurup, 9560 Hadsund;1.045.000,00 kr.;Energimærke D;Villa/Fritidsbolig;116 m²;Ejerudg. 1.718 kr./md;Grund 10.465 m²;2 Vær.;70 dage;Opført 1915
e4d7d08f-3172-46cc-8dfb-82b9bd494c77;/adresse/langerimsvej-61-9560-hadsund;Langerimsvej 61Øster Hurup, 9560 Hadsund;(-5%);1.045.000,00 kr.;Energimærke D;Villa/Fritidsbolig;116 m²;Ejerudg. 1.718 kr./md;Grund 10.465 m²;2 Vær.;70 dage;Opført 1915
86051f99-d14c-4d70-b409-8e66e3e2b464;/adresse/sandvigvej-25-4735-mern;Sandvigvej 254735 Mern;4735 Mern;845.000,00 kr.;Energimærke C;Villa/Fritidsbolig;105 m²;Ejerudg. 1.182 kr./md;Grund 455 m²;4 Vær.;70 dage;Opført 1920
86051f99-d14c-4d70-b409-8e66e3e2b464;/adresse/sandvigvej-25-4735-mern;Sandvigvej 254735 Mern;(-15%);845.000,00 kr.;Energimærke C;Villa/Fritidsbolig;105 m²;Ejerudg. 1.182 kr./md;Grund 455 m²;4 Vær.;70 dage;Opført 1920
2d59e5f2-2744-4ac1-bf7d-21e96b1bde61;/adresse/klintevej-26-8240-risskov;Klintevej 268240 Risskov;8240 Risskov;6.500.000,00 kr.;Energimærke C;Villa;132 m²;Ejerudg. 4.390 kr./md;Grund 815 m²;3 Vær.;70 dage;Opført 1926
f54397aa-7655-4b45-b787-b463f51e5ebf;/adresse/kirkevejen-15-5960-marstal;Kirkevejen 15Ommel, 5960 Marstal;Ommel, 5960 Marstal;1.795.000,00 kr.;Energimærke C;Villa/Fritidsbolig;104 m²;Ejerudg. 1.266 kr./md;Grund 558 m²;4 Vær.;70 dage;Opført 1900
33033352-670b-4871-87c0-7531c7941cf3;/adresse/soendervang-1-9382-tylstrup;Søndervang 19382 Tylstrup;9382 Tylstrup;645.000,00 kr.;Energimærke F;Villa;108 m²;Ejerudg. 1.188 kr./md;Grund 805 m²;4 Vær.;70 dage;Opført 1948
33033352-670b-4871-87c0-7531c7941cf3;/adresse/soendervang-1-9382-tylstrup;Søndervang 19382 Tylstrup;(-7%);645.000,00 kr.;Energimærke F;Villa;108 m²;Ejerudg. 1.188 kr./md;Grund 805 m²;4 Vær.;70 dage;Opført 1948
7f174174-df3a-4031-9057-9c0a6315ef82;/adresse/flintebjerg-6-4320-lejre;Flintebjerg 6Osted, 4320 Lejre;Osted, 4320 Lejre;3.495.000,00 kr.;Energimærke C;Villa;109 m²;Ejerudg. 2.144 kr./md;Grund 662 m²;3 Vær.;70 dage;Opført 1998
dacb0ff9-3548-48cb-8231-0077dee77d87;/adresse/ankermedet-21-9990-skagen;Ankermedet 219990 Skagen;9990 Skagen;1.550.000,00 kr.;Energimærke F;Villa/Fritidsbolig;93 m²;Ejerudg. 1.862 kr./md;Grund 801 m²;4 Vær.;70 dage;Opført 1953
a2624ea1-04f6-4c49-8772-df013a25f538;/adresse/nordtoft-2-9370-hals;Nordtoft 29370 Hals;9370 Hals;1.375.000,00 kr.;Energimærke C;Villa;142 m²;Ejerudg. 1.341 kr./md;Grund 800 m²;4 Vær.;70 dage;Opført 1971
caf17170-a493-441f-8b39-8161db99f065;/adresse/munkeparken-17-5600-faaborg;Munkeparken 17Vester Åby, 5600 Faaborg;Vester Åby, 5600 Faaborg;1.295.000,00 kr.;Energimærke D;Villa/Fritidsbolig;133 m²;Ejerudg. 978 kr./md;Grund 1.007 m²;4 Vær.;70 dage;Opført 1977
caf17170-a493-441f-8b39-8161db99f065;/adresse/munkeparken-17-5600-faaborg;Munkeparken 17Vester Åby, 5600 Faaborg;(-4%);1.295.000,00 kr.;Energimærke D;Villa/Fritidsbolig;133 m²;Ejerudg. 978 kr./md;Grund 1.007 m²;4 Vær.;70 dage;Opført 1977
1297bf98-a83e-4299-8230-da571e5e6178;/adresse/torvegade-14-5400-bogense;Torvegade 145400 Bogense;5400 Bogense;725.000,00 kr.;Energimærke E;Villa;80 m²;Ejerudg. 1.673 kr./md;Grund 100 m²;3 Vær.;70 dage;Opført 1777
c795aa04-9715-4985-ad4b-998bb69b4d1c;/adresse/efterskolevej-8d-5700-svendborg;Efterskolevej 8D5700 Svendborg;5700 Svendborg;4.995.000,00 kr.;Energimærke A2020;Villa;167 m²;Ejerudg. 2.905 kr./md;Grund 842 m²;4 Vær.;70 dage;Opført 2023
